"","Area.Name","Area.ID","Park.Name","Park.ID","Squirrel.ID","Primary.Fur.Color","Highlights.in.Fur.Color","Color.Notes","Location","Above.Ground..Height.in.Feet.","Specific.Location","Activities","Interactions.with.Humans","Other.Notes.or.Observations","Squirrel.Latitude..DD.DDDDDD.","Squirrel.Longitude...DD.DDDDDD.","above_ground","eat_forag","busy_park"
"1","UPPER MANHATTAN","A","Fort Tryon Park",1,"A-01-01","Gray","White","","Ground Plane","","","Foraging","Indifferent","",40.85941,-73.933936,0,1,1
"2","UPPER MANHATTAN","A","Fort Tryon Park",1,"A-01-02","Gray","White","","Ground Plane","","","Foraging","Indifferent","Looks skinny",40.859436,-73.933937,0,1,1
"3","UPPER MANHATTAN","A","Fort Tryon Park",1,"A-01-03","Gray","White","","Ground Plane","","","Eating, Digging something","Indifferent","",40.859416,-73.933894,0,1,1
"4","UPPER MANHATTAN","A","Fort Tryon Park",1,"A-01-04","Gray","White","","Ground Plane","","","Running","Indifferent","",40.859418,-73.933895,0,0,1
"5","UPPER MANHATTAN","A","Fort Tryon Park",1,"A-01-05","Gray","Cinnamon","","Ground Plane","","","Running, Eating","Indifferent","She left food",40.859493,-73.93359,0,1,1
"6","UPPER MANHATTAN","A","Fort Tryon Park",1,"A-01-06","Gray","Cinnamon","","Ground Plane","","","Climbing","Indifferent","",40.860825,-73.932871,0,0,1
"7","UPPER MANHATTAN","A","Fort Tryon Park",1,"A-01-07","Gray","White","","Ground Plane","","","Foraging","Indifferent","",40.860225,-73.933143,0,1,1
"8","UPPER MANHATTAN","A","Fort Tryon Park",1,"A-01-08","Black","Gray","","Above Ground","10","","Climbing","Runs From","",40.859965,-73.933412,1,0,1
"9","UPPER MANHATTAN","A","Fort Tryon Park",1,"A-01-09","Gray","White","","Ground Plane","","","Foraging","Indifferent","",40.859892,-73.933326,0,1,1
"10","UPPER MANHATTAN","A","Fort Tryon Park",1,"A-01-10","Gray","White","","Ground Plane","","","Eating, Digging","Indifferent","",40.859636,-73.933717,0,1,1
"11","UPPER MANHATTAN","A","Fort Tryon Park",1,"A-01-11","Gray","Black","","Ground Plane","","","Eating, Digging","Indifferent","was intimidated by a dog",40.859576,-73.933738,0,1,1
"12","UPPER MANHATTAN","A","Fort Tryon Park",1,"A-01-12","Gray","White","","Ground Plane","","","Running","Runs From","",40.859989,-73.934544,0,0,1
"13","UPPER MANHATTAN","A","J. Hood Wright Park",2,"A-02-01","Gray","Gray","","Ground Plane","","","Running","Indifferent","",40.845749,-73.9407,0,0,0
"14","UPPER MANHATTAN","A","J. Hood Wright Park",2,"A-02-02","Gray","Cinnamon","","Above Ground","2","","Foraging","Indifferent","",40.845875,-73.940808,1,1,0
"15","UPPER MANHATTAN","A","J. Hood Wright Park",2,"A-02-03","Gray","Cinnamon","","Ground Plane","","","Foraging","","",40.845875,-73.940808,0,1,0
"16","UPPER MANHATTAN","A","J. Hood Wright Park",2,"A-02-04","Gray","Cinnamon","","Ground Plane","","","Running","Indifferent","",40.846088,-73.940613,0,0,0
"17","UPPER MANHATTAN","A","J. Hood Wright Park",2,"A-02-05","Gray","Cinnamon","","Ground Plane","","","Running","Runs From","",40.846088,-73.940613,0,0,0
"18","UPPER MANHATTAN","A","J. Hood Wright Park",2,"A-02-06","Gray","Cinnamon","","Ground Plane","","","Foraging","Indifferent","",40.846088,-73.940613,0,1,0
"19","UPPER MANHATTAN","A","J. Hood Wright Park",2,"A-02-07","Gray","Gray","","Ground Plane","","","","Runs From","",40.846222,-73.94094,0,0,0
"20","UPPER MANHATTAN","A","J. Hood Wright Park",2,"A-02-08","Gray","Cinnamon","","Ground Plane","","","Foraging, Nesting/gathering leaves","Indifferent","",40.846222,-73.94094,0,1,0
"21","UPPER MANHATTAN","A","J. Hood Wright Park",2,"A-02-09","Gray","Cinnamon","","Ground Plane","","","Chasing","Indifferent","",40.846197,-73.941026,0,0,0
"22","UPPER MANHATTAN","A","J. Hood Wright Park",2,"A-02-10","Gray","Cinnamon","","Ground Plane","","","Running","Indifferent","",40.846185,-73.940613,0,0,0
"23","UPPER MANHATTAN","A","J. Hood Wright Park",2,"A-02-11","Gray","Cinnamon","","Ground Plane","","","Eating","Runs From","",40.846271,-73.940579,0,1,0
"24","UPPER MANHATTAN","A","J. Hood Wright Park",2,"A-02-12","Gray","Cinnamon","","Above Ground, Specific Location","15","tree","Climbing","Indifferent","",40.846332,-73.940369,1,0,0
"25","UPPER MANHATTAN","A","J. Hood Wright Park",2,"A-02-13","Gray","White","","Above Ground, Specific Location","20","tree","Sleeping","Indifferent","",40.846332,-73.940369,1,0,0
"26","UPPER MANHATTAN","A","J. Hood Wright Park",2,"A-02-14","Gray","Gray","","Ground Plane","","","Running","Indifferent","",40.846332,-73.940369,0,0,0
"27","UPPER MANHATTAN","A","J. Hood Wright Park",2,"A-02-15","Gray","White","","Ground Plane","","","Running","Indifferent","",40.846458,-73.94103,0,0,0
"28","UPPER MANHATTAN","A","J. Hood Wright Park",2,"A-02-16","Gray","Cinnamon","","Above Ground, Specific Location","20","tree","Eating","Indifferent","",40.846417,-73.941115,1,1,0
"29","UPPER MANHATTAN","A","J. Hood Wright Park",2,"A-02-17","Gray","Gray","","Ground Plane","","","Running","Indifferent","",40.846296,-73.941132,0,0,0
"30","UPPER MANHATTAN","A","J. Hood Wright Park",2,"A-02-18","Gray","Cinnamon","","Ground Plane","","","Foraging","Indifferent","",40.846064,-73.941497,0,1,0
"31","UPPER MANHATTAN","A","J. Hood Wright Park",2,"A-02-19","Gray","Cinnamon","","Above Ground, Specific Location","2","tree","Climbing","Indifferent","",40.846065,-73.941498,1,0,0
"32","UPPER MANHATTAN","A","J. Hood Wright Park",2,"A-02-20","Gray","Cinnamon","","Ground Plane","","","Foraging","Indifferent","",40.847296,-73.942061,0,1,0
"33","UPPER MANHATTAN","A","J. Hood Wright Park",2,"A-02-21","Gray","Cinnamon","","Ground Plane","","","Foraging","Runs From","",40.847259,-73.941598,0,1,0
"34","UPPER MANHATTAN","A","J. Hood Wright Park",2,"A-02-22","Gray","Cinnamon","","Ground Plane","","","Foraging","Indifferent","",40.84719,-73.941308,0,1,0
"35","UPPER MANHATTAN","A","J. Hood Wright Park",2,"A-02-23","Gray","Cinnamon","","Above Ground, Specific Location","2","fence","Eating","Indifferent","",40.84719,-73.941308,1,1,0
"36","UPPER MANHATTAN","A","J. Hood Wright Park",2,"A-02-24","Cinnamon","White","","Above Ground, Specific Location","20","tree","Sitting","Indifferent","",40.847113,-73.940937,1,0,0
"37","UPPER MANHATTAN","A","Highbridge Park",3,"A-03-01","Gray","Cinnamon","","Above Ground, Specific Location","2","in tree","Chasing, Climbing","Watches us from tree","#1 and #2 chasing each other",40.841178,-73.935482,1,0,0
"38","UPPER MANHATTAN","A","Highbridge Park",3,"A-03-02","Gray","White","","Above Ground, Specific Location","2","in tree","Chasing, Climbing, Eating","Runs From","#1 and #2 chasing each other",40.841204,-73.935434,1,1,0
"39","UPPER MANHATTAN","A","Highbridge Park",3,"A-03-03","Gray","White","","Above Ground, Specific Location","2","in tree","Running","","",40.841212,-73.934827,1,0,0
"40","UPPER MANHATTAN","A","Highbridge Park",3,"A-03-04","Gray","White","","Above Ground","3","","Climbing","","",40.841217,-73.934714,1,0,0
"41","UPPER MANHATTAN","A","Highbridge Park",3,"A-03-05","Gray","Cinnamon","","Ground Plane","","","Running","Runs From","#5, #6 & #7 together in shrub area to East, a lot of acorns and Corona bottle caps on ground",40.841359,-73.934339,0,0,0
"42","UPPER MANHATTAN","A","Highbridge Park",3,"A-03-06","Gray","Gray","","Above Ground, Specific Location","2","in tree","Running","Runs From, watchful","#5, #6 & #7 together in shrub area to East, a lot of acorns and Corona bottle caps on ground",40.841375,-73.934242,1,0,0
"43","UPPER MANHATTAN","A","Highbridge Park",3,"A-03-07","Gray","Cinnamon","","Above Ground, Specific Location","< 1","on log","Running","Runs From","#5, #6 & #7 together in shrub area to East, a lot of acorns and Corona bottle caps on ground",40.841375,-73.934242,1,0,0
"44","UPPER MANHATTAN","A","Highbridge Park",3,"A-03-08","Gray","Cinnamon","","Above Ground, Specific Location","3","in wall","Running, Chasing, Climbing","Runs From","#8 & #9 saw together at start of river overlook, hiding in cracks of cement wall! so cool!",40.842308,-73.933061,1,0,0
"45","UPPER MANHATTAN","A","Highbridge Park",3,"A-03-09","Gray","Cinnamon","","Above Ground, Specific Location","3","in wall","","","#8 & #9 saw together at start of river overlook, hiding in cracks of cement wall! so cool!",40.842401,-73.932986,1,0,0
"46","UPPER MANHATTAN","A","Highbridge Park",3,"A-03-10","Gray","Cinnamon","","Ground Plane, Above Ground","6‰ÛÒ18","Started on ground, climbed 6‰ÛÒ18 ft.","Climbing, Foraging","Watching us from tree - very interested in us","Lots of garbage, near #8 & #9",40.842511,-73.932916,1,1,0
"47","UPPER MANHATTAN","A","Highbridge Park",3,"A-03-11","Gray","Cinnamon","","Above Ground","4","","Vocalization at us","Approaches, watching us","",40.842673,-73.932793,1,0,0
"48","UPPER MANHATTAN","A","Highbridge Park",3,"A-03-12","Gray","White","","Ground Plane","","","Running, Foraging","Runs From","",40.842795,-73.933002,0,1,0
"49","UPPER MANHATTAN","A","Highbridge Park",3,"A-03-13","Gray","Cinnamon","","Ground Plane","","","Running","","",NA,NA,0,0,0
"50","UPPER MANHATTAN","A","Highbridge Park",3,"A-03-14","Gray","Cinnamon","","Ground Plane","","","Running, Eating","Runs From, watches us in short tree","Loud sparrows in tree",40.842327,-73.934269,0,1,0
"51","UPPER MANHATTAN","A","Highbridge Park",3,"A-03-15","Gray","Cinnamon","","Above Ground, Specific Location","9","in tree","Jumped to building","","",40.842359,-73.934177,1,0,0
"52","UPPER MANHATTAN","A","Highbridge Park",3,"A-03-16","Gray","Cinnamon","","Ground Plane","","","Eating, Foraging","Indifferent","",40.842769,-73.934478,0,1,0
"53","UPPER MANHATTAN","A","St. Nicholas Park",4,"A-04-01","Gray","White","","Above Ground","","","Climbing","Indifferent","Jumping between",40.817593,-73.948855,1,0,0
"54","UPPER MANHATTAN","A","St. Nicholas Park",4,"A-04-02","Black","Black","","Ground Plane","","","Foraging","Indifferent","Chasing #3",40.817719,-73.948855,0,1,0
"55","UPPER MANHATTAN","A","St. Nicholas Park",4,"A-04-03","Gray","White","","Ground Plane","","","Eating","Indifferent","Being chased by #2",40.817719,-73.948914,0,1,0
"56","UPPER MANHATTAN","A","St. Nicholas Park",4,"A-04-04","Gray","White","","Ground Plane","","","Foraging","Indifferent","",40.817711,-73.949118,0,1,0
"57","UPPER MANHATTAN","A","St. Nicholas Park",4,"A-04-05","Gray","White","","Ground Plane","","","Climbing, Eating","Indifferent","",40.817569,-73.948931,0,1,0
"58","UPPER MANHATTAN","A","St. Nicholas Park",4,"A-04-06","Gray","Gray","","Above Ground","","","Chasing, Climbing","Indifferent","",40.817544,-73.949016,1,0,0
"59","UPPER MANHATTAN","A","St. Nicholas Park",4,"A-04-07","Gray","Gray","","Above Ground","","","Chasing, Climbing","Indifferent","",40.817544,-73.949016,1,0,0
"60","UPPER MANHATTAN","A","St. Nicholas Park",4,"A-04-08","Gray","White","","Ground Plane","","","Running","Runs From","",40.817479,-73.949006,0,0,0
"61","UPPER MANHATTAN","A","St. Nicholas Park",4,"A-04-09","Gray","White","","Ground Plane","","","Foraging","Indifferent","Wooded area",40.816685,-73.949689,0,1,0
"62","UPPER MANHATTAN","A","St. Nicholas Park",4,"A-04-10","Gray","Gray","","Ground Plane","","","Foraging","Indifferent","Wooded area",40.816677,-73.949549,0,1,0
"63","UPPER MANHATTAN","A","St. Nicholas Park",4,"A-04-11","Black","Black","","Ground Plane","","","Foraging","Indifferent","Wooded area",40.816555,-73.949609,0,1,0
"64","UPPER MANHATTAN","A","St. Nicholas Park",4,"A-04-12","Gray","White","","Ground Plane","","","Foraging","Indifferent","Wooded area - would look but not fully approach",40.816506,-73.949587,0,1,0
"65","UPPER MANHATTAN","A","St. Nicholas Park",4,"A-04-13","Gray","White","","Ground Plane","","","Running","Indifferent","",40.816425,-73.949474,0,0,0
"66","UPPER MANHATTAN","A","St. Nicholas Park",4,"A-04-14","Gray","Gray","","Ground Plane","","","Foraging","Indifferent","",40.818308,-73.948952,0,1,0
"67","UPPER MANHATTAN","A","St. Nicholas Park",4,"A-04-15","Gray","Black","","Ground Plane","","","Foraging","Indifferent","",40.818263,-73.948909,0,1,0
"68","UPPER MANHATTAN","A","Riverside Park (Section Near Grant Memorial)",5,"A-05-01","Gray","Gray","","Ground Plane","","","Running, up tree","Runs From","",NA,NA,0,0,0
"69","UPPER MANHATTAN","A","Riverside Park (Section Near Grant Memorial)",5,"A-05-02","Gray","Gray","","Ground Plane","","","Running, up tree","Runs From","",NA,NA,0,0,0
"70","UPPER MANHATTAN","A","Riverside Park (Section Near Grant Memorial)",5,"A-05-03","Gray","Gray","","Ground Plane","","","Running, up tree","Indifferent","",NA,NA,0,0,0
"71","UPPER MANHATTAN","A","Riverside Park (Section Near Grant Memorial)",5,"A-05-04","Gray","Gray","","Ground Plane","","","Chasing","Indifferent","",NA,NA,0,0,0
"72","UPPER MANHATTAN","A","Riverside Park (Section Near Grant Memorial)",5,"A-05-05","Gray","Gray","","Ground Plane","","","Chasing","","",NA,NA,0,0,0
"73","UPPER MANHATTAN","A","Riverside Park (Section Near Grant Memorial)",5,"A-05-06","Gray","Gray","","Above Ground","15","","Sitting on branch","Indifferent","",NA,NA,1,0,0
"74","UPPER MANHATTAN","A","Riverside Park (Section Near Grant Memorial)",5,"A-05-07","Gray","Gray","","Ground Plane","","","Running, up tree","Indifferent","Forever wild section",NA,NA,0,0,0
"75","UPPER MANHATTAN","A","Riverside Park (Section Near Grant Memorial)",5,"A-05-08","Gray","Gray","","Ground Plane","","","Eating","Indifferent","",NA,NA,0,1,0
"76","UPPER MANHATTAN","A","Riverside Park (Section Near Grant Memorial)",5,"A-05-09","Gray","Gray","","Ground Plane","","","Eating","Indifferent","",NA,NA,0,1,0
"77","UPPER MANHATTAN","A","Riverside Park (Section Near Grant Memorial)",5,"A-05-10","Gray","Gray","","Ground Plane","","","Eating","Indifferent","",NA,NA,0,1,0
"78","UPPER MANHATTAN","A","Riverside Park (Section Near Grant Memorial)",5,"A-05-11","Gray","Gray","","Ground Plane","","","Eating","Indifferent","",NA,NA,0,1,0
"79","UPPER MANHATTAN","A","Riverside Park (Section Near Grant Memorial)",5,"A-05-12","Gray","Gray","","Ground Plane","","","Eating","Indifferent","",NA,NA,0,1,0
"80","UPPER MANHATTAN","A","Riverside Park (Section Near Grant Memorial)",5,"A-05-13","Gray","Gray","","Ground Plane","","","Eating","Indifferent","",NA,NA,0,1,0
"81","UPPER MANHATTAN","A","Riverside Park (Section Near Grant Memorial)",5,"A-05-14","Gray","Gray","","Ground Plane","","","Eating","Indifferent","",NA,NA,0,1,0
"82","UPPER MANHATTAN","A","Riverside Park (Section Near Grant Memorial)",5,"A-05-15","Gray","Gray","","Ground Plane","","","Chasing","Indifferent","",NA,NA,0,0,0
"83","UPPER MANHATTAN","A","Riverside Park (Section Near Grant Memorial)",5,"A-05-16","Gray","Gray","","Ground Plane","","","Chasing","Indifferent","",NA,NA,0,0,0
"84","UPPER MANHATTAN","A","Riverside Park (Section Near Grant Memorial)",5,"A-05-17","Gray","Gray","","Ground Plane","","","Eating","Okay with people","",NA,NA,0,1,0
"85","UPPER MANHATTAN","A","Riverside Park (Section Near Grant Memorial)",5,"A-05-18","Gray","Gray","","Ground Plane","","","Running","Indifferent","",NA,NA,0,0,0
"86","UPPER MANHATTAN","A","Riverside Park (Section Near Grant Memorial)",5,"A-05-19","Gray","Gray","","Above Ground, Specific Location","","Tree","Running","Indifferent","",NA,NA,1,0,0
"87","UPPER MANHATTAN","A","Riverside Park (Section Near Grant Memorial)",5,"A-05-20","Gray","Gray","","Ground Plane","","","Running","Indifferent","",NA,NA,0,0,0
"88","UPPER MANHATTAN","A","Riverside Park (Section Near Grant Memorial)",5,"A-05-21","Gray","Gray","","Ground Plane","","at tree","","Indifferent","",NA,NA,0,0,0
"89","UPPER MANHATTAN","A","Riverside Park (Section Near Grant Memorial)",5,"A-05-22","Gray","Gray","","Ground Plane","","","Chasing","","",NA,NA,0,0,0
"90","UPPER MANHATTAN","A","Riverside Park (Section Near Grant Memorial)",5,"A-05-23","Gray","Gray","","Ground Plane","","","Chasing","","",NA,NA,0,0,0
"91","UPPER MANHATTAN","A","Riverside Park (Section Near Grant Memorial)",5,"A-05-24","Gray","Gray","","","","","Sitting at attention","","",NA,NA,0,0,0
"92","UPPER MANHATTAN","A","Riverside Park (Section Near Grant Memorial)",5,"A-05-25","Gray","Gray","","Ground Plane","","","Eating","Indifferent","",NA,NA,0,1,0
"93","UPPER MANHATTAN","A","Riverside Park (Section Near Grant Memorial)",5,"A-05-26","Gray","Gray","","Ground Plane","","","Eating","Indifferent","",NA,NA,0,1,0
"94","UPPER MANHATTAN","A","Riverside Park (Section Near Grant Memorial)",5,"A-05-27","Gray","Gray","","Ground Plane","","","Foraging","Indifferent","",NA,NA,0,1,0
"95","UPPER MANHATTAN","A","Riverside Park (Section Near Grant Memorial)",5,"A-05-28","Gray","Gray","","Ground Plane","","","Foraging","Indifferent","",NA,NA,0,1,0
"96","UPPER MANHATTAN","A","Marcus Garvey Park",6,"A-06-01","Gray","Gray","","Above Ground","20‰ÛÒ40","","Climbing","Indifferent","HAWK. HAAAAAWK. All in 1 tree.",40.804912,-73.943735,1,0,0
"97","UPPER MANHATTAN","A","Marcus Garvey Park",6,"A-06-02","Gray","Gray","","Above Ground","20‰ÛÒ40","","Climbing","Indifferent","HAWK. HAAAAAWK. All in 1 tree.",40.804912,-73.943736,1,0,0
"98","UPPER MANHATTAN","A","Marcus Garvey Park",6,"A-06-03","Gray","Gray","","Above Ground","20‰ÛÒ40","","Climbing","Indifferent","HAWK. HAAAAAWK. All in 1 tree.",40.804913,-73.943735,1,0,0
"99","UPPER MANHATTAN","A","Marcus Garvey Park",6,"A-06-04","Gray","Gray","","Above Ground","20‰ÛÒ40","","Climbing","Indifferent","HAWK. HAAAAAWK. All in 1 tree.",40.804915,-73.943737,1,0,0
"100","UPPER MANHATTAN","A","Marcus Garvey Park",6,"A-06-05","Gray","Gray","","Above Ground","20‰ÛÒ40","","Climbing","Indifferent","HAWK. HAAAAAWK. All in 1 tree.",40.804916,-73.943735,1,0,0
"101","UPPER MANHATTAN","A","Marcus Garvey Park",6,"A-06-06","Gray","Gray","","Above Ground","20‰ÛÒ40","","Climbing","Indifferent","HAWK. HAAAAAWK. All in 1 tree.",40.804914,-73.943736,1,0,0
"102","UPPER MANHATTAN","A","Marcus Garvey Park",6,"A-06-07","Gray","Gray","","Above Ground","20‰ÛÒ40","","Climbing","Indifferent","HAWK. HAAAAAWK. All in 1 tree.",40.804917,-73.943737,1,0,0
"103","UPPER MANHATTAN","A","Marcus Garvey Park",6,"A-06-08","Black","Black","","Above Ground","25","","Climbing","","Defending the tree from the HAAAAWK. The bravest.",40.804912,-73.943738,1,0,0
"104","UPPER MANHATTAN","A","Marcus Garvey Park",6,"A-06-09","Gray","Gray","","Above Ground, Specific Location","2‰ÛÒ6","small trees","Chasing, Climbing, Eating","Indifferent","2 were chasing each other through some short trees, others just sat",40.804701,-73.944118,1,1,0
"105","UPPER MANHATTAN","A","Marcus Garvey Park",6,"A-06-10","Gray","Gray","","Above Ground, Specific Location","2‰ÛÒ6","small trees","Chasing, Climbing, Eating","Indifferent","2 were chasing each other through some short trees, others just sat",40.804746,-73.94374,1,1,0
